name,country,latitude,longitude,population,elevation,elevation_feet,elevation_source,elevation_confidence,source,distance_km_to_perimeter,airport_confidence_pct,airport_error,airport_nearest_iata,airport_nearest_icao,airport_nearest_latitude,airport_nearest_longitude,airport_nearest_name,airport_reasoning,distance_km_to_rockies,driving_confidence_pct,driving_error,driving_km_to_airport,driving_km_to_hospital,driving_reasoning,driving_time_minutes_to_airport,driving_time_minutes_to_hospital,hospital_confidence_pct,hospital_error,hospital_in_city,hospital_in_city_or_nearby,hospital_nearest_latitude,hospital_nearest_longitude,hospital_nearest_name,hospital_reasoning,nearest_hospital_km,peaks_higher1200_within30km_count,peaks_higher1200_within30km_names
Heber City,US,40.5069,-111.41324,9198,1713.0,5620.1,opentopo,0.9,geonames,0.0,90,,SLC,KSLC,40.78886,-111.979866,Salt Lake City International Airport,Selected by OSRM driving among top-K from OurAirports dataset (scheduled service).,0.0,95,,79.571,0.09,"Driving route via OSRM. Distance and time derived from OSRM API. Source: https://router.project-osrm.org/route/v1/driving/-111.413240,40.506900;-111.979866,40.788860?overview=false&annotations=duration,distance&alternatives=false",58.3,0.2,95,,yes,yes,40.5074059,-111.4137307,Encompass Health,OSM hospital within 3.0 km of centroid (nearest 0.07 km),0.07,74,Lightning Peak; Twin Peaks; Freedom Peak; Shingle Mill Peak; Mount Baldy; Currant Creek Peak; Flagstaff Mountain; Heber Mountain; Hoyt Peak; Montreal Hill; White Baldy; Ant Knolls; Cascade Mountain; Clayton Peak; Davenport Hill; Mount Evergreen; Jupiter Peak; Kesler Peak; Little Water Peak; Mill Canyon Peak; Miller Hill; Mount Millicent; Murdock Peak; Pioneer Peak; Roberts Horn; Scott Hill; Strawberry Peak; Mount Tuscarora; Mount Wolverine; Bald Knoll; Desolation Peak; Eagle Peak; Hidden Peak via Alta By-Pass Road; Sunset Peak; Gobblers Knob; Monte Cristo; Devil's Castle; Guardsman Peak; 10420; Red Baldy; Silver Peak; North Timpanogos; East Peak; Mount Timpanogos; Sugarloaf Mountain; Geek Peak; Twin Peaks (east); Twin Peaks (west); Patsy Marley Peak; East Castle; The Shoulder; South Timpanogos; Bomber Peak; Forgotten Peak; Mount Superior; Cardiff Peak; Honeycomb Cliffs; Reed and Benson Ridge; Wilson Peak; North Cascade Mountain; Peak 10731 ft; South Cascade Mountain; Black Bess Peak; Red Stack; Willow Peak; Preston Peak; Peak 9699; Point Supreme; Squaretop
Canmore,CA,51.08335,-115.35206,13992,1309.0,4294.6,open_elevation,0.85,geonames,0.0,90,,YYC,CYYC,51.118822,-114.009933,Calgary International Airport,Selected by OSRM driving among top-K from OurAirports dataset (scheduled service).,0.0,95,,112.874,2.52,"Driving route via OSRM. Distance and time derived from OSRM API. Source: https://router.project-osrm.org/route/v1/driving/-115.352060,51.083350;-114.009933,51.118822?overview=false&annotations=duration,distance&alternatives=false",96.1,5.7,95,,yes,yes,51.0930742,-115.3504884,Canmore General Hospital,OSM hospital within 3.0 km of centroid (nearest 1.09 km),1.09,132,Grotto Mountain; Rundle 1; The Fortress; Mount Allan; Mount Lougheed; Mount Sparrowhawk; Cascade Mountain; Mount Girouard; Mount Inglismaldie; Mount Peechee; Mount Charles Stewart SE2; Mount Charles Stewart; Mount Lady Macdonald; Princess Margaret Mountain; Bald Eagle Peak; Gap Peak; Mount Fable; Mount Townsend; Orient Point; Saddle Peak; South Ghost Peak; Stenton Peak; Big Sister (Faith Peak); East End of Rundle; Little Sister (Charity Peak); Lougheed 1; Lougheed 3; Middle Sister (Hope Peak); Mount Lawrence Grassi; Mount Rundle; Rimwall W2; Rundle 2; Rundle 4; Rundle 5; Rundle 6; Rundle 7; The Rimwall; Windtower; Mount Collembola; Skogan Peak; Buller Mountain; Gusty Peak; Mount Bogart; Mount Engadine; Mount Galatea; Mount Kidd South; Mount Kidd; Red Ridge; Ribbon Peak; The Tower; Mount Shark; Tent Ridge; The Fist; Cascade Rock; Ely's Dome; Gibralter Rock; Marvel Peak; Mount Cautley; Mount Morrison; Mount Turner; Naiset Point; Terrapin Mountain; The Towers; Wonder Peak; Beersheba Peak; Cave Mountain; Cone Mountain; Goatview Peak; Mount Allenby; Mount Mercer; Mount Nestor; Mount Turbulent; Og Mountain; Old Goat Mountain; Sundance Peak; Mount Charles Stewart South; Cougar Peak; Morrowmount; Little Mythic; Read's Tower; Red Peak; Subpeak 2; The Orphan; Wind Mountain; Windy Ridge; Rundle 8; Little Galatea; Mount Rundle; Ship's Prow Mountain; Carrot Peak; Cross Peak; Buller Pass Peak; Guinn's Peak; Epic Tower; Mythic Tower; Lillian Peak; Grotto Mountain N1.9; Grotto Mountain N1.4; Mount Marushka; Og Mountain East; Mount Morrison NW2; Owl Mountain; Naiset Peak; Mount Townsend NW1.5; Stenton Peak S1; Saddle Peak SW3; Morrowcross Peak; Old Goat Mountain NW1; Old Goat Mountain NW3; Goatview Peak SE1; Goatview Peak NW2; Galatea SW1.3; Mount Skogan North Peak; Cascade North; Cascade Central; Mount Allenby True Summit; Allenby Pass Peak; Nasswald Peak SE3.2; Beersheba Peak N1.5; Sundance Ridge 7.5; Sundance Ridge 7; Sundance Ridge 6; Sundance Ridge 5; Sundance Ridge 4; Sundance Ridge 3; Mount Costigan; Devil's Head; Mount Astley; Mount Aylmer; Mount Astley NE
Steamboat Springs,US,40.48498,-106.83172,12435,2057.0,6748.7,open_elevation,0.85,geonames,0.0,90,,HDN,KHDN,40.481201,-107.218002,Yampa Valley Airport,Selected by OSRM driving among top-K from OurAirports dataset (scheduled service).,0.0,95,,39.742,3.68,"Driving route via OSRM. Distance and time derived from OSRM API. Source: https://router.project-osrm.org/route/v1/driving/-106.831720,40.484980;-107.218002,40.481201?overview=false&annotations=duration,distance&alternatives=false",31.1,6.1,95,,yes,yes,40.4632255,-106.8148729,Yampa Valley Medical Center,OSM hospital within 3.0 km of centroid (nearest 2.81 km),2.81,5,The Dome; Horse Thief Peak; Soda Mountain; Lost Ranger Peak; Mount Ethel
Edwards,US,39.64499,-106.5942,10266,2200.0,7217.8,opentopo,0.9,geonames,0.0,90,,EGE,KEGE,39.64260101,-106.9179993,Eagle County Regional Airport,Selected by OSRM driving among top-K from OurAirports dataset (scheduled service).,0.0,95,,36.628,1.815,"Driving route via OSRM. Distance and time derived from OSRM API. Source: https://router.project-osrm.org/route/v1/driving/-106.594200,39.644990;-106.917999,39.642601?overview=false&annotations=duration,distance&alternatives=false",31.3,2.3,95,,yes,yes,39.6519134,-106.5925266,Shaw Cancer Center,OSM hospital within 3.0 km of centroid (nearest 0.78 km),0.78,27,Castle Peak; Red Table Mountain; Mount Thomas; Eagles Nest; Piney Peak; Cottonwood Peak; Bald Mountain; Grouse Mountain; Battle Mountain; Craig Peak; Burnt Mountain; Mount Jackson; Gold Dust Peak; Fools Peak; Eagle Peak; Avalanche Peak; Middle Mountain; Notch Mountain; Mount of the Holy Cross; Whitney Peak; Hornsilver Mountain; Vail Mountain; Red and White Mountain; New York Mountain; Petty Mountain; Meridian Peak; Mount Powell
Pleasant View,US,41.31828,-111.99216,9273,1327.0,4353.7,opentopo,0.9,geonames,0.0,90,,OGD,KOGD,41.195899963379,-112.0120010376,Ogden Hinckley Airport,Selected by OSRM driving among top-K from OurAirports dataset (scheduled service).,0.0,95,,18.617,17.4,"Driving route via OSRM. Distance and time derived from OSRM API. Source: https://router.project-osrm.org/route/v1/driving/-111.992160,41.318280;-112.012001,41.195900?overview=false&annotations=duration,distance&alternatives=false",16.4,20.1,80,,no,yes,41.1916181,-111.9513812,McKay-Dee North Campus,No OSM hospital within 3.0 km of centroid; nearest 14.49 km,14.49,14,De Moisy Peak; Strawberry Peak; Allen Peak; Thurston Peak; Mount Ogden; No Name Peak; The Needles; Ben Lomond; Chilly Peak; Grizzly Peak; James Peak; Willard Mountain; Willard Peak; Cobabe Peak
Jackson,US,43.47993,-110.76243,10523,1905.0,6250.0,open_elevation,0.85,geonames,0.0,90,,JAC,KJAC,43.6072998046875,-110.73799896240234,Jackson Hole Airport,Selected by OSRM driving among top-K from OurAirports dataset (scheduled service).,0.0,95,,15.693,1.267,"Driving route via OSRM. Distance and time derived from OSRM API. Source: https://router.project-osrm.org/route/v1/driving/-110.762430,43.479930;-110.737999,43.607300?overview=false&annotations=duration,distance&alternatives=false",17.1,3.0,95,,yes,yes,43.4807798,-110.7506216,Saint John's Medical Center,OSM hospital within 3.0 km of centroid (nearest 0.96 km),0.96,65,Albright Peak; The Wedge; Mount Bannon; Battleship Mountain; Cloudveil Dome; Disappointment Peak; East Prong; Fossil Mountain; Housetop Mountain; Mount Hunt; Mount Jedediah Smith; Mount Meek; Middle Teton; Prospectors Mountain; Rendezvous Peak; Shadow Peak; South Teton; Static Peak; Taylor Mountain; Teewinot Mountain; Veiled Peak; Mount Owen; Mount Wister; Buck Mountain; Nez Perce; Grand Teton; Cody Peak; Teepe Pillar; Rendezvous Mountain; No-Name Peak; Two Elk Peak; Murphy Peak; Tukuarika Peak; Teton Crest Highpoint; Gilkey Tower; Matternaught; Ice Cream Cone; Spalding Peak; Red Sentinel; Fair Share Tower; Pemmican Pinnacle; Okies Thorn; Glencoe Spire; Dike Pinnacle; Pinnochio Pinnacle; Bonney Pinnacle; The Enclosure; Crooked Thumb; Idol and Worshipper; Jackson Peak; Cache Peak; Pinnacle Peak; Table Mountain; Sheep Mountain; Gros Peak
Cedar Hills,US,40.41412,-111.75854,10265,1511.0,4957.3,open_elevation,0.85,geonames,0.0,90,,PVU,KPVU,40.2192,-111.723,Provo-Utah Lake International Airport,Selected by OSRM driving among top-K from OurAirports dataset (scheduled service).,0.0,95,,29.813,5.966,"Driving route via OSRM. Distance and time derived from OSRM API. Source: https://router.project-osrm.org/route/v1/driving/-111.758540,40.414120;-111.723000,40.219200?overview=false&annotations=duration,distance&alternatives=false",45.0,8.6,80,,no,yes,40.3802971,-111.7666815,American Fork Hospital,No OSM hospital within 3.0 km of centroid; nearest 3.82 km,3.82,105,Bald Knoll; Buckley Mountain; Corral Mountain; Lightning Peak; Freedom Peak; Shingle Mill Peak; Provo Peak; Maple Mountain; Lion's Head; East Provo Peak; Dromedary Peak; Lone Peak; Storm Mountain; Twin Peaks (east); Sunrise Peak; Box Elder Peak; Mahogany Mountain; Mount Olympus; Mount Raymond; Triangle Peak; Enniss Peak; North Thunder Mountain; Big Horn Peak; Twin Peaks (west); South Thunder Mountain; The Pfeifferhorn; Rocky Mouth Canyon Peak; South Thayne Peak; Chipman Peak; Mount Olympus (north); Hogum Divide; Bells Cleaver; Willow Canyon Peak; Mount Baldy; Flagstaff Mountain; Montreal Hill; Sundial Peak; Thunder Mountain; White Baldy; Ant Knolls; Cascade Mountain; Clayton Peak; Davenport Hill; Mount Evergreen; Jupiter Peak; Kesler Peak; Mill Canyon Peak; Miller Hill; Mount Millicent; Pioneer Peak; Roberts Horn; Scott Hill; Mount Tuscarora; Mount Wolverine; Eagle Peak; Hidden Peak via Alta By-Pass Road; Sunset Peak; Gobblers Knob; Reynolds Peak; Monte Cristo; Devil's Castle; Guardsman Peak; 10420; Red Baldy; Silver Peak; North Timpanogos; East Peak; Mount Timpanogos; Sugarloaf Mountain; Geek Peak; Twin Peaks (east); Twin Peaks (west); Patsy Marley Peak; East Castle; The Shoulder; South Timpanogos; Bomber Peak; Forgotten Peak; Mount Superior; Cardiff Peak; Honeycomb Cliffs; Reed and Benson Ridge; Wilson Peak; North Cascade Mountain; Peak 10731 ft; South Cascade Mountain; Black Bess Peak; Red Stack; Willow Peak; Preston Peak; Soldier Peak; Tom's Hill; Peak 9699; Point Supreme; The Cone
Glenwood Springs,US,39.55054,-107.32478,9906,1763.0,5784.1,opentopo,0.9,geonames,0.0,90,,EGE,KEGE,39.64260101,-106.9179993,Eagle County Regional Airport,Selected by OSRM driving among top-K from OurAirports dataset (scheduled service).,0.0,95,,43.09,2.578,"Driving route via OSRM. Distance and time derived from OSRM API. Source: https://router.project-osrm.org/route/v1/driving/-107.324780,39.550540;-106.917999,39.642601?overview=false&annotations=duration,distance&alternatives=false",35.1,4.8,95,,yes,yes,39.5329746,-107.3213895,Valley View Hospital,OSM hospital within 3.0 km of centroid (nearest 1.97 km),1.97,14,Clinetop Mesa; Blair Mountain; White River Plateau; Hunns Peak; Triangle Mountain; Spring Hill; Flatiron Mountain; Baxter Peak; Sunlight Peak; Bald Mountain; Mosquito Mountain; Flagpole Mountain; Twin Peaks; Williams Peak
Anaconda,US,46.12854,-112.94226,9417,1599.0,5246.1,open_elevation,0.85,geonames,0.0,90,,BTM,KBTM,45.95479965209961,-112.49700164794922,Bert Mooney Airport,Selected by OSRM driving among top-K from OurAirports dataset (scheduled service).,0.0,95,,44.995,1.302,"Driving route via OSRM. Distance and time derived from OSRM API. Source: https://router.project-osrm.org/route/v1/driving/-112.942260,46.128540;-112.497002,45.954800?overview=false&annotations=duration,distance&alternatives=false",35.7,1.9,95,,yes,yes,46.1324575,-112.9565199,Community Hospital of Anaconda,OSM hospital within 3.0 km of centroid (nearest 1.18 km),1.18,7,Mount Haggin; Mount Evans; Short Peak; Deer Lodge Mountain; Goat Mountain; Mount Powell; Racetrack Peak
Roxborough Park,US,39.47388,-105.08526,9099,1753.0,5751.3,opentopo,0.9,geonames,0.0,90,,BJC,KBJC,39.908798,-105.116997,Rocky Mountain Metropolitan Airport,Selected by OSRM driving among top-K from OurAirports dataset (scheduled service).,0.0,95,,64.923,9.726,"Driving route via OSRM. Distance and time derived from OSRM API. Source: https://router.project-osrm.org/route/v1/driving/-105.085260,39.473880;-105.116997,39.908798?overview=false&annotations=duration,distance&alternatives=false",63.2,16.2,80,,no,yes,39.5068577,-105.0374595,UCHealth Sterling Ranch Medical Center,No OSM hospital within 3.0 km of centroid; nearest 5.50 km,5.5,1,Green Mountain
Evergreen,US,39.63332,-105.31721,9038,2184.0,7165.4,open_elevation,0.85,geonames,0.0,90,,BJC,KBJC,39.908798,-105.116997,Rocky Mountain Metropolitan Airport,Selected by OSRM driving among top-K from OurAirports dataset (scheduled service).,0.0,95,,57.777,31.8,"Driving route via OSRM. Distance and time derived from OSRM API. Source: https://router.project-osrm.org/route/v1/driving/-105.317210,39.633320;-105.116997,39.908798?overview=false&annotations=duration,distance&alternatives=false",55.5,30.9,80,,no,yes,39.6828034,-105.1560498,The Root Acupuncture,No OSM hospital within 3.0 km of centroid; nearest 14.85 km,14.85,7,Papoose Mountain; Chief Mountain; Warrior Mountain; Mestaa’ėhehe  Mountain; Rosedale Peak; Meridian Hill; Royal Mountain
Park City,US,40.64606,-111.49797,8128,2145.0,7037.4,opentopo,0.9,geonames,0.0,90,,SLC,KSLC,40.78886,-111.979866,Salt Lake City International Airport,Selected by OSRM driving among top-K from OurAirports dataset (scheduled service).,0.0,95,,59.09,7.479,"Driving route via OSRM. Distance and time derived from OSRM API. Source: https://router.project-osrm.org/route/v1/driving/-111.497970,40.646060;-111.979866,40.788860?overview=false&annotations=duration,distance&alternatives=false",47.7,9.0,80,,no,yes,40.6879522,-111.4690581,Park City Hospital,No OSM hospital within 3.0 km of centroid; nearest 5.26 km,5.26,23,Dromedary Peak; Lone Peak; Twin Peaks (east); Sunrise Peak; Box Elder Peak; North Thunder Mountain; Twin Peaks (west); South Thunder Mountain; The Pfeifferhorn; Mount Baldy; White Baldy; Roberts Horn; Hidden Peak via Alta By-Pass Road; Monte Cristo; Red Baldy; North Timpanogos; Sugarloaf Mountain; Geek Peak; Twin Peaks (east); Twin Peaks (west); Mount Superior; Red Stack
